id;categorie;nom;critere;mode;image
T001;Général;Le combo ultime;Plus grand nombre de catégories de badges différentes;Automatique;
T002;Conspi;Maître Conspi;Plus grand nombre de Conspibadges;Automatique;
T003;Spirituel;Gourou suprême;Plus grand nombre de badges spirituels;Automatique;
T004;Trump;Salle de balle dorée;Plus grand nombre de Trumpibadges;Automatique;
T005;Auto;Grand Champion International de Course;Plus grand nombre de sources / occurrences documentées de « Guerre à l’auto » ou d’opposition au transport en commun et aux modes de transport alternatifs;Automatique;
T006;Désintégrité;Prix de la désintégrité;Plus grand nombre de badges d’éthique, d’intégrité et de casseroles;Automatique;
T007;Guerre culturelle;Grand Inquisiteur;Plus grand nombre de badges de la famille Droito-religioso-Intoléro-xénophobadges;Automatique;
T008;Final;Grand Champion 2026;Plus grand nombre total de badges;Automatique;
T009;Parti;Parti le plus conspi;Plus grand nombre de Conspibadges;Automatique;
T010;Parti;Parti le plus Trump;Plus grand nombre de Trumpibadges;Automatique;
T011;Parti;Parti le plus perché;Plus grand nombre de badges spirituels;Automatique;
T012;Parti;Parti de la désintégrité;Plus grand nombre de badges d’éthique, d’intégrité et de casseroles;Automatique;
T013;Parti;Parti de la guerre culturelle;Plus grand nombre de badges de la famille Droito-religioso-Intoléro-xénophobadges;Automatique;
T014;Campagne;Prix Hiver Nucléaire;Plus grand nombre de candidats RADIOACTIFS;Automatique;
T015;Désintégrité;Tableau d'honneur de la VG;Plus grand nombre de badges Pris la main dans l'éthique;Automatique;
