personne_id;nom;parti;rôle;circonscription;photo;statut
P00001;Adnane Najahi;PQ;Candidat 2026;Jeanne-Mance-Viger;;
P00002;Aisha Issa;PQ;Candidat 2026;Maurice-Richard;;
P00003;Alain Therrien;PQ;Candidat 2026;Sanguinet;;
P00004;Alex Boissonneault;PQ;Député sortant 2026;Arthabaska-L'Érable;;
P00005;Alexandre Daneau;PQ;Candidat 2026;Beauharnois;;
P00006;Alexandre Girard-Duchaine;PQ;Candidat 2026;Bertrand;;
P00007;Amin Ouazragh-Marchand;PQ;Candidat 2026;Vimont-Auteuil;;
P00008;Angèle Bouffard;PQ;Candidat 2026;Beauce-Sud;;
P00009;Anne Nguyen;PQ;Candidat 2026;Prévost;;
P00010;Anne-Sophie Maguire Armand;PQ;Candidat 2026;Pierre-Laporte;;
P00011;Ariane Boyer;PQ;Candidat 2026;Rivière-du-Loup–Témiscouata–Les Basques;;
P00012;Ariane Bureau;PQ;Candidat 2026;Mont-Royal-Outremont;;
P00013;Audrey Bujold;PQ;Candidat 2026;Bellefeuille;;
P00014;Bernard Sévigny;PQ;Candidat 2026;Richmond;;
P00015;Camille Pellerin-Forget;PQ;Candidat 2026;Iberville;;
P00016;Caroline-Julie Fortin;PQ;Candidat 2026;Saint-Henri–Sainte-Anne;;
P00017;Catherine Dansereau-Redhead;PQ;Candidat 2026;Fabre;;
P00018;Catherine Drouin;PQ;Candidat 2026;Labelle;;
P00019;Catherine Gentilcore;PQ;Député sortant 2026;Terrebonne;;
P00020;Cédric Gagnon-Ducharme;PQ;Candidat 2026;Borduas;;
P00021;Céline Dauphinais;PQ;Candidat 2026;Jacques-Cartier;;
P00022;Charles Page;PQ;Candidat 2026;Drummond–Bois-Francs;;
P00023;Chloé Fauchon;PQ;Candidat 2026;Louis-Hébert;;
P00024;Christian Hébert;PQ;Candidat 2026;Portneuf;;
P00025;Christian Savard;PQ;Candidat 2026;Taschereau;;
P00026;Clara Béisle;PQ;Candidat 2026;Viau;;
P00027;Claude Villeneuve;PQ;Candidat 2026;Jean-Lesage;;
P00028;Debbie Fennety;PQ;Candidat 2026;Mégantic;;
P00029;Diane Dallaire;PQ;Candidat 2026;Rouyn-Noranda–Témiscamingue;;
P00030;Dieudonné Ella Oyono;PQ;Candidat 2026;Les Plaines;;
P00031;Edline Henri;PQ;Candidat 2026;Bourassa-Sauvé;;
P00032;Elena Kozynchenko;PQ;Candidat 2026;Verdun;;
P00033;Élodie Murphy-Gauthier;PQ;Candidat 2026;Laviolette-Saint-Maurice;;
P00034;Elsie Lefebvre;PQ;Candidat 2026;Berthier;;
P00035;Émile Simard;PQ;Candidat 2026;Dubuc;;
P00036;Éric Gagnon Poulin;PQ;Candidat 2026;Beauce-Nord;;
P00037;Fatima Aboubakr;PQ;Candidat 2026;Laval-des-Rapides;;
P00038;Francis Deroo;PQ;Candidat 2026;Soulanges;;
P00039;François Gariépy;PQ;Candidat 2026;Charlevoix–Côte-de-Beaupré;;radioactif
P00040;Frédéric Côté;PQ;Candidat 2026;La Prairie;;
P00041;Frédéric Laplante;PQ;Candidat 2026;Huntingdon;;
P00042;Gabriel Coulombe;PQ;Candidat 2026;Charlesbourg;;
P00043;Gabriel Pallotta;PQ;Candidat 2026;Sherbrooke;;
P00044;Gaétan Bédard;PQ;Candidat 2026;Saint-Jean;;
P00045;Geneviève Couture;PQ;Candidat 2026;Mirabel;;
P00046;Guillaume De Palma-Demers;PQ;Candidat 2026;Marquette;;
P00047;Guy Lapointe Jr;PQ;Candidat 2026;Verchères;;
P00048;Isabelle Blais;PQ;Candidat 2026;Maskinongé;;
P00049;Isabelle Daoust;PQ;Candidat 2026;Gouin;;
P00050;Isabelle Millette;PQ;Candidat 2026;Papineau;;
P00051;Isabelle Thibeault;PQ;Candidat 2026;Roberval;;
P00052;Jean Pellerin;PQ;Candidat 2026;Trois-Rivières;;
P00053;Jean-François Arsenault;PQ;Candidat 2026;Granby;;
P00054;Jean-François Cloutier;PQ;Candidat 2026;Montarville;;
P00055;Jérôme Couture;PQ;Candidat 2026;Bellechasse;;
P00056;Jérôme Gagnon;PQ;Candidat 2026;Nicolet-Bécancour;;
P00057;Jimmy Bouchard;PQ;Candidat 2026;Jonquière;;
P00058;Jocelyn Caron;PQ;Candidat 2026;Orford;;
P00059;Jocelyn Desjardins;PQ;Candidat 2026;Richelieu;;
P00060;Joël Arseneau;PQ;Député sortant 2026;Îles-de-la-Madeleine;;
P00061;Jonathan Moreau;PQ;Candidat 2026;Lotbinière-Frontenac;;
P00062;Joyd Rolkins Daréus;PQ;Candidat 2026;LaFontaine;;
P00063;Judith Cardin;PQ;Candidat 2026;Sainte-Rose;;
P00064;Julie Guyot;PQ;Candidat 2026;Chambly;;
P00065;Julie Vignola;PQ;Candidat 2026;La Peltrie;;
P00066;Kelly Lazo De La Vega;PQ;Candidat 2026;Laurier-Dorion;;
P00067;Linda Vaillant;PQ;Candidat 2026;Deux-Montagnes;;
P00068;Luc Côté;PQ;Candidat 2026;Marguerite-Bourgeoys;;
P00069;Maïté Larouche;PQ;Candidat 2026;D'Arcy-McGee;;
P00070;Marcela Cazas;PQ;Candidat 2026;Pontiac;;
