source_id;url;date;Description
S001;https://www.tvanouvelles.ca/2025/12/08/catherine-morissette-officiellement-candidate-pour-le-parti-conservateur-du-quebec-dans-chicoutimi;12/8/25;Article de TVA Nouvelles
S002;https://ici.radio-canada.ca/nouvelle/1911868/camionneurs-ottawa-manifestation-pcq-duhaime;9/8/22;Article de Radio-Canada
S003;https://www.neomedia.com/vaudreuil-soulanges/actualites/valleyfield/468576/eric-duhaime-presente-la-candidate-dans-beauharnois?utm_source=chatgpt.com;7/19/22;Article dans NeoMedia
S004;https://ici.radio-canada.ca/nouvelle/2279713/david-alarie-candidat-brome-missisquoi-elections-quebec;9/2/26;Article de Radio-Canada
S005;https://www.tvanouvelles.ca/2026/09/03/couilles-molles---petit-penis---pussy---le-candidat-du-pcq-dans-cote-du-sud-multipliait-aussi-les-insultes-derriere-son-clavier;9/3/26;Article de TVA Nouvelles
S007;https://www.ledevoir.com/actualites/1005398/mongols-nunuche-esti-voleur-candidat-conservateur-mitraillait-insultes-x;9/1/26;Article du Devoir
S008;https://ici.radio-canada.ca/nouvelle/2273312/dominique-dumas-pcq-avortement-duhaime;8/4/26;Article de Radio-Canada
S009;https://ici.radio-canada.ca/nouvelle/1901431/parti-conservateur-quebec-complot-candidats-desinformation-medicale-covid-19;7/28/22;Article de Radio-Canada
S010;https://www.noovo.info/nouvelles/politique/elections-quebec/article/anti-vaccin-sylvain-bouchard-recoit-une-vague-de-haine-apres-une-entrevue-avec-une-candidate-du-pcq/;9/1/26;Article de Noovo
S011;https://www.lapresse.ca/elections-quebecoises/2026-09-01/piste-de-course-menacee-de-fermeture/duhaime-s-en-prend-aux-donneurs-de-lecons.php;9/1/26;Article de La Presse
S012;https://ici.radio-canada.ca/nouvelle/2279790/congestion-saint-augustin-promesses-conservateurs-duhaime;9/1/26;Article de Radio-Canada
S013;https://www.fm1077.ca/audio/690966/eric-duhaime-c-est-la-guerre-a-l-auto;4/9/25;Entrevue FM1077
S014;https://www.facebook.com/eduhaime/videos/ceux-qui-croient-que-la-guerre-a-lauto-nexiste-pas-%C3%A9coutez-%C3%A7a-et-vous-changerez-/436437906011876/;6/16/24;Post Facebook
S015;https://x.com/E_Duhaime/status/2094953848435523654;9/1/26;Post X
S016;https://www.journaldemontreal.com/2026/05/15/elections-2026-eric-duhaime-recrute-un-finissant-de-luqam-anti-woke;5/15/26;Article dans Journal de Montréal
S017;https://www.lapresse.ca/actualites/chroniques/2022-05-06/au-pcq-comme-dans-un-moulin.php;5/6/22;Chronique de La Presse
S018;https://www.tvanouvelles.ca/2023/05/10/eliminer-la-fete-des-meres-cest-le-wokisme-a-son-pire-dit-eric-duhaime;5/10/23;Article de TVA Nouvelles
S019;https://www.noovo.info/nouvelle/dou-vient-le-terme-wokisme.html;5/20/23;Article de Noovo
S020;https://ici.radio-canada.ca/nouvelle/1971209/conservateur-quebec-petition-conte;4/12/23;Article de Radio-Canada
S021;https://www.tvanouvelles.ca/2023/11/17/je-vais-etre-heureux-avec-le-score-que-les-militants-vont-me-donner---eric-duhaime;11/17/23;Article de TVA Nouvelles
S022;https://www.facebook.com/eduhaime/posts/le-d%C3%A9cevant-rapport-sur-lidentit%C3%A9-de-genre-d%C3%A9%C3%A7oit-tout-le-monde-en-ne-prenant-pa/1290807485743021/;6/4/26;Post Facebook
S023;https://www.cqv.qc.ca/avortement_c_est_mon_choix_est_un_argument_irrationnel;5/14/15;Blogue d'éric Lanthier - Campagne Québec-Vie
S024;https://www.journaldemontreal.com/2026/09/03/couilles-molles---petit-penis---pussy---le-candidat-du-pcq-dans-cote-du-sud-multipliait-aussi-les-insultes-derriere-son-clavier;9/3/26;Article du Journal de Montréal
S025;https://www.lapresse.ca/elections-quebecoises/2026-08-26/51e-etat-why-not/un-candidat-du-pcq-en-faveur-de-l-annexion-aux-etats-unis.php;8/26/26;Article de La Presse
S027;https://www.lapresse.ca/elections-quebecoises/2026-08-30/homme-pris-en-photo-a-son-insu/duhaime-accuse-ses-adversaires-de-fouiller-de-la-merde.php;8/30/26;Article de La Presse
S028;https://libre-media.com/articles/il-y-a-certaines-opinions-que-nous-navons-plus-le-droit-demettre;8/31/23;Article de Libre Média
